Filename,Insertions,Deletions,Substitutions,WER,Word Count,transcription,Viterbi transcription
0174.wav,5,1,5,0.6470588235294118,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,a the picked piper picked of peck of pickled peppers where's the pickled pickled peck where's the peter peter picked the
0175.wav,3,0,0,1.5,2,peter piper,the peter piper of the
0176.wav,3,0,1,2.0,2,pickled peppers,the pickled picked where's the
0177.wav,10,0,1,1.2222222222222223,9,where's the peck of pickled peppers peter piper picked,where's the peter pickled of pickled the peck of peppers peter the peck a piper picked the a peck
0178.wav,3,0,0,1.5,2,pickled peppers,the a pickled peppers the
0179.wav,3,0,3,1.0,6,picked a peck of pickled peppers,the peck a pickled pickled pickled the peppers the
0180.wav,3,0,2,0.625,8,peter piper picked a peck of pickled peppers,the peter of peter picked of peck of pickled peppers the
0181.wav,3,0,2,0.625,8,the peck of pickled peppers peter piper picked,peck the picked peck of pickled peppers peter peter peter the
0182.wav,3,0,1,1.0,4,peter picked pickled peppers,the peter of pickled pickled peppers the
0183.wav,2,0,0,0.3333333333333333,6,where's the peck of pickled peppers,the where's the peck of pickled peppers the
0184.wav,2,0,1,0.6,5,a peck of pickled peppers,the of peck of pickled peppers the
0185.wav,4,0,3,1.1666666666666667,6,piper picked a peck of peter,the a picked the the peck picked peter a the
0186.wav,3,1,1,0.8333333333333334,6,peter pickled a peck of peppers,the peter pickled peck of of where's the
0187.wav,4,0,0,1.3333333333333333,3,piper pickled peter,the piper a pickled peter picked peck
0188.wav,4,0,0,0.8,5,where's peter piper pickled peppers,the where's peter of piper a pickled peppers peck
0189.wav,3,0,3,1.0,6,piper peter picked peppers picked peter,the piper peter a a where's a peter the
0190.wav,8,0,3,0.6470588235294118,17,piper pickled picked peppers of picked a pickled piper the peppers peck of peter peter peck where's,the piper of pickled picked peppers of picked the of pickled picked of the picked of where's peck of peter peter of peck where's the
0191.wav,10,1,4,0.8823529411764706,17,a peter the of peck where's piper peter picked pickled picked peppers pickled of peck peppers piper,the of peter pickled of the peck where's piper of peter picked picked the pickled pickled of where's pickled where's the peck peck where's piper the
0192.wav,10,0,3,0.7647058823529411,17,peter picked peppers piper picked peter of where's peck pickled the peck pickled a piper peppers of,the peter of picked peter picked piper of picked peter the of where's peck the pickled the of peck the pickled of piper the where's of the
0193.wav,7,0,6,0.7647058823529411,17,peck piper picked peppers peck the a peter pickled of pickled picked piper of where's peter peppers,the piper piper of picked peppers peck pickled peck peter of pickled where's the pickled picked picked picked where's the where's peter peppers the
0194.wav,10,0,3,0.7647058823529411,17,a picked pickled peck of of picked the peck piper piper peter pickled peter peppers where's peppers,the of picked pickled peck where's the of picked the where's of peck piper of piper of peter the pickled peter a the peppers picked peppers the
0195.wav,9,1,3,1.625,8,peter piper picked a peck of pickled peppers,piper the the of peppers of picked of peck of picked picked of picked the picked
0196.wav,4,0,4,0.8888888888888888,9,where's the peck of pickled peppers peter piper picked,the pickled where's picked peck of picked piper of picked piper picked the
0197.wav,12,0,7,1.1176470588235294,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,peck the peck the picked peck of picked where's peck of peck peck peck of where's where's the peck peck of picked peck peppers peter pickled peck picked the
0198.wav,5,0,6,0.6470588235294118,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,the the of of of pickled peck of pickled peppers where's the picked peck of pickled peppers the the pickled peck picked
0199.wav,7,0,7,0.8235294117647058,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,peck the of peppers picked of peck of pickled peppers where's picked of peck of pickled peck picked a the peck peck picked the
0200.wav,5,0,11,0.9411764705882353,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,picked of the of of picked peck pickled pickled peck where's of where's piper peck of picked peck picked picked peck picked
0201.wav,2,1,6,0.5294117647058824,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,pickled pickled peck picked peck pickled pickled peppers picked of peck of pickled peppers peter peck picked picked
0202.wav,3,1,1,0.5,10,peppers picked a peck of peter a pickled peter piper,the peppers picked peck of peter picked the pickled peter piper picked
0203.wav,3,1,0,0.23529411764705882,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,the peter piper picked peck of pickled peppers the where's the peck of pickled peppers peter piper picked the
0204.wav,2,0,0,0.2857142857142857,7,peck of pickled peppers peter piper picked,the peck of pickled peppers peter piper picked the
0205.wav,2,0,0,0.2857142857142857,7,peter piper peck peppers picked peter peppers,the peter piper peck peppers picked peter peppers the
0206.wav,3,0,1,0.5,8,pickled peter piper a peck the peppers picked,the pickled peter piper picked the peck the peppers picked the
0207.wav,4,0,2,0.75,8,peter piper picked a peck of pickled peppers,picked the peter of piper picked of peck of pickled where's the
0208.wav,3,0,5,0.8888888888888888,9,where's the peck of pickled peppers peter piper picked,the where's of of of picked peppers picked of of picked the
0209.wav,3,0,1,0.6666666666666666,6,peter picked piper where's the peck,peck the peter picked piper where's of peck the
0210.wav,4,0,5,1.125,8,pickled peter the peppers a piper where's picked,peck the pickled picked of of of where's of where's picked the
0211.wav,1,0,4,0.5555555555555556,9,piper pickled peppers where's a peter picked a peck,the piper of peppers where's of peter picked picked the
0212.wav,7,1,5,0.7647058823529411,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,the peter piper of a of peck of pickled peppers where's a of pickled pickled peck where's the of peter of a the
0213.wav,7,0,7,0.875,16,the peck of pickled peppers peter piper picked peter piper picked a peck of pickled peppers,the peck a pickled pickled peck where's the of piper a the picked of piper of pickled peck of pickled peck where's the
0214.wav,5,0,7,0.8571428571428571,14,a peck of pickled peppers peter piper picked where's the peck of pickled peppers,the where's pickled pickled where's picked of piper of a picked where's of peck of pickled picked where's the
0215.wav,12,0,7,1.1875,16,a peck of pickled peppers picked peter piper where's peter piper peck of pickled peppers picked,the pickled a of of the pickled where's the of the of piper where's the where's the of peter picked of peck of pickled peck where's a the
0216.wav,7,0,9,1.0,16,a peck of peppers pickled picked peter piper where's peter piper peppers pickled the peck picked,the pickled a picked a where's pickled the the of piper picked where's peter of piper picked where's pickled of piper a the
0217.wav,3,0,2,0.45454545454545453,11,peter where's a peter picked of piper piper peck pickled picked,peck the pickled where's of peter picked of piper piper peck pickled picked the
0218.wav,1,0,0,0.2,5,pickled peter pickled of peck,pickled peter pickled of peck the
0219.wav,4,0,3,0.5833333333333334,12,peppers peppers piper the peck peter picked pickled of pickled piper picked,the where's of where's piper the of peck peter picked pickled of picked piper picked the
0220.wav,5,0,1,0.6666666666666666,9,where's the peck of pickled peppers peter piper picked,the where's the of peck of pickled peter peter of piper of picked the
0221.wav,6,1,2,0.5294117647058824,17,peck a piper pickled peter of of the peck peter picked piper where's peppers pickled peppers picked,the peck of piper pickled peter of pickled of peck peter peck picked piper where's of where's the pickled peppers picked the
0222.wav,2,0,1,0.5,6,peppers of piper pickled the peter,the peppers of piper pickled peter the the
0223.wav,2,0,0,0.2857142857142857,7,piper picked peter pickled where's the peppers,the piper picked peter pickled where's the peppers the
0224.wav,1,0,0,0.16666666666666666,6,the peck of piper peter picked,the peck of piper peter picked the
0225.wav,4,0,0,0.5714285714285714,7,piper peter peter piper picked the peppers,peck the peck piper peter peter piper picked the peppers the
0226.wav,3,1,1,0.8333333333333334,6,where's the piper of peck peter,the where's peppers of peck peter picked the
0227.wav,3,0,4,1.0,7,peter picked a peck of pickled peppers,peck the of picked the peck of picked where's the
0228.wav,2,0,3,0.7142857142857143,7,peter piper picked a peck of peppers,the of piper the the peck of peppers the
0229.wav,5,0,3,1.6,5,where's the peppers peter picked,peck the where's picked of where's picked of peter the
0230.wav,4,0,3,1.1666666666666667,6,where's the peck of pickled peppers,the where's picked peck of the the peck where's the
0231.wav,5,0,3,1.1428571428571428,7,where's the pickled peppers peter piper picked,the where's the the of peppers picked of piper of peter the
0232.wav,4,0,2,0.35294117647058826,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,peck the peter of piper peck of peck of pickled peppers where's the peck of pickled peppers peter piper picked the
0233.wav,3,0,3,0.35294117647058826,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,peck the picked piper peck of peck of pickled peppers where's the peck of pickled peppers peter piper picked the
0234.wav,5,0,0,0.8333333333333334,6,peter peter peter peter piper peter,peck the peter of peter peter peter piper peter picked the
0235.wav,4,0,0,1.0,4,pickled peppers where's peter,peck the pickled peppers where's peter a the
0236.wav,3,1,1,0.625,8,peter piper picked a peck of pickled peppers,the of peter of picked peck of pickled peck peppers
0237.wav,3,0,1,1.3333333333333333,3,the pickled piper,peck the pickled peter of the
0238.wav,5,0,0,1.0,5,peter piper peck pickled peppers,picked the peter piper picked the peck pickled the peppers
0239.wav,2,0,1,0.375,8,peter piper picked a peck of pickled peppers,the peter piper picked of peck of pickled peppers the
0240.wav,3,0,1,0.4444444444444444,9,where's the peck of pickled peppers peter piper picked,the where's of peck of pickled peppers peter of piper picked the
0241.wav,3,0,0,0.5,6,peter picked peppers piper pickled peppers,the pickled peter picked peppers piper pickled peppers the
0242.wav,1,0,1,0.2857142857142857,7,where's the peck of peppers peter picked,where's of peck of peppers peter picked the
0243.wav,4,0,1,0.7142857142857143,7,where's the peck of peppers piper pickled,the where's picked of peck of peppers the piper pickled the
0244.wav,7,0,3,1.4285714285714286,7,peter picked a peck of pickled peppers,the of the the a of a the of peck of pickled where's the
0245.wav,5,0,3,1.6,5,the pickled peppers peter picked,the where's where's picked of where's picked of picked the
0246.wav,4,0,0,1.3333333333333333,3,where's the piper,a the where's the piper where's the
0247.wav,3,0,1,1.3333333333333333,3,piper picked peter,the piper pickled peter the the
0248.wav,5,0,3,2.0,4,peter peter piper peppers,the picked of picked of piper of where's the
0249.wav,2,0,1,0.5,6,pickled piper peter peck of peppers,pickled piper the the peck of peppers the
0250.wav,2,1,2,0.2777777777777778,18,where's peter of peck picked peppers a piper of pickled the peck picked a piper where's of peck,the where's peter of peck picked where's of piper of pickled the peck picked piper where's of peck the
0251.wav,3,0,2,0.45454545454545453,11,peck a pickled piper peter of peppers picked the peppers pickled,peck the peck pickled piper of the where's of peppers picked the peppers pickled
0252.wav,4,0,1,1.6666666666666667,3,where's peter piper,the where's picked of piper a the
0253.wav,4,1,3,0.8,10,of peppers where's a peck the pickled peter piper picked,peck the of where's where's of peck pickled a the of piper picked
0254.wav,2,0,3,0.29411764705882354,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,the a picked a picked peck of pickled peppers a the peck of pickled peppers peter piper picked the
0255.wav,12,0,1,0.7647058823529411,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,the picked a the picked piper picked the a picked of peck of pickled peppers where's the peck of peck pickled peppers peter the piper of picked the the
0256.wav,10,0,4,0.8235294117647058,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,picked the peter of piper of the the a the of peck of pickled peppers the where's picked peck of picked of peppers picked piper picked the
0257.wav,5,0,4,0.5294117647058824,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,the picked of of of picked of peck of pickled peppers where's the peck of picked of peppers peter piper picked the
0258.wav,6,0,4,0.5882352941176471,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,picked the picked picked of of of picked peck of pickled peppers where's the peck of pickled peppers peter of picked picked the
0259.wav,6,0,4,0.5882352941176471,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,peck a the picked of of of picked peck of pickled of peppers where's the peck of pickled peppers peter of picked the
0260.wav,6,0,2,1.3333333333333333,6,peck of pickled peppers peter picked,picked the peck of picked of peppers picked of a peter the
0261.wav,5,0,2,1.4,5,where's the peck peter picked,the where's the where's the picked of a peter the
0262.wav,5,0,4,1.8,5,pickled peppers peter piper picked,piper the pickled where's the the of of of where's
0263.wav,5,0,1,1.0,6,peter picked peck of pickled peppers,where's the the picked of peck peck of pickled peppers the
0264.wav,4,0,1,1.25,4,where's peter piper peck,the the where's picked of piper peck the
0265.wav,5,0,2,2.3333333333333335,3,piper picked peppers,the picked a picked picked the where's the
0266.wav,5,0,3,1.3333333333333333,6,where's peter piper pickled picked peppers,piper of the the piper of pickled picked the where's the
0267.wav,3,0,3,1.0,6,the peck of peppers peter picked,the of of of where's picked a of the
0268.wav,5,0,4,1.5,6,where's the pickled peck of peppers,the peter the the the of of of of where's the
0269.wav,4,0,2,1.2,5,peter piper picked pickled peppers,peck the peter piper of a pickled where's the
0270.wav,3,0,0,1.0,3,peter picked piper,the peter picked picked piper the
0271.wav,3,0,1,1.0,4,picked peppers picked piper,the a picked where's picked piper the
0272.wav,4,0,3,1.1666666666666667,6,where's the pickled peppers piper picked,the where's the picked where's piper of a peter the
0273.wav,5,1,4,1.4285714285714286,7,peck of picked peppers piper peter picked,the picked a peck where's piper of the of a the
0274.wav,3,0,0,0.75,4,peter piper picked peppers,picked the peter piper picked peppers the
0275.wav,3,0,0,1.0,3,pickled peppers picked,the pickled peppers a picked the
0276.wav,3,0,1,0.5714285714285714,7,peter piper picked a peck of peppers,the peter piper picked of peck of peck peppers the
0277.wav,2,0,0,0.5,4,piper picked pickled peppers,the piper picked pickled peppers the
0278.wav,2,0,0,0.5,4,peter piper pickled peppers,the peter piper pickled peppers the
0279.wav,3,1,1,1.25,4,peck the peppers peck,the picked of where's peck the
0280.wav,3,0,2,1.0,5,piper the piper pickled peppers,the where's the piper of pickled where's the
0281.wav,6,0,4,1.4285714285714286,7,peter picked piper picked the picked peppers,the a of picked the of pickled the picked the a where's the
0282.wav,3,0,1,0.8,5,pickled piper peppers pickled peter,the pickled piper of where's pickled peter the
0283.wav,5,0,8,0.7647058823529411,17,piper peter picked a peck of pickled peppers where's the peck of pickled peppers piper peter picked,the where's peter the of peck of the picked where's where's the peck of pickled where's piper the the of the the
0284.wav,2,0,0,1.0,2,the peck,a the peck the
0285.wav,3,0,0,0.75,4,where's the peck peter,the where's the peck peter picked the
0286.wav,2,0,0,0.6666666666666666,3,piper pickled peppers,the piper pickled peppers the
0287.wav,4,0,2,0.75,8,a peck of pickled peppers peter piper picked,the of peck of pickled the of where's peter piper picked the
0288.wav,2,0,1,0.5,6,peppers pickled a peck picked peter,the peppers pickled of peck picked peter the
0289.wav,1,0,1,0.6666666666666666,3,peter picked peppers,picked where's picked peppers
0290.wav,3,0,1,1.0,4,peck of pickled peppers,peck peck of pickled peck where's the
0291.wav,5,0,1,2.0,3,where's peter piper,peck the where's a of piper picked the
0292.wav,1,0,0,0.25,4,pickled peck of peppers,pickled peck of peppers the
0293.wav,4,1,1,1.2,5,peter piper picked a peck,picked where's piper a the peck peck the
0294.wav,3,0,1,0.8,5,peppers of piper peck peter,the where's of piper peck peter where's the
0295.wav,5,0,1,1.0,6,peter a piper of a peck,where's the peter of piper of picked a peck the the
0296.wav,3,0,1,1.0,4,peck pickled peter peck,the peck pickled picked of peck the
0297.wav,5,0,1,0.6666666666666666,9,a piper of peter picked peppers of pickled peter,pickled a piper the of peter picked picked of where's of pickled peter the
0298.wav,2,0,2,0.8,5,of peck a peter pickled,the of peck picked of pickled the
0299.wav,1,0,1,0.2857142857142857,7,piper picked a peck of the peppers,piper picked picked peck of the peppers the
0300.wav,2,0,0,0.6666666666666666,3,where's peter piper,the where's peter piper the
0301.wav,2,0,0,0.5,4,pickled peppers of peter,pickled peppers of peter picked the
0302.wav,3,0,2,0.625,8,a peck of pickled peppers of peter piper,the of peck of pickled where's of peter piper picked the
0303.wav,3,0,2,1.0,5,peppers peppers peppers peppers peppers,peppers of where's peppers peppers of where's the
0304.wav,1,0,0,0.2,5,peter peck the pickled peppers,the peter peck the pickled peppers
0305.wav,1,1,0,0.4,5,pickled peter picked the piper,pickled peter picked piper peck
0306.wav,1,1,0,0.2857142857142857,7,where's the peck of peppers peter picked,the where's peck of peppers peter picked
0307.wav,2,0,2,0.6666666666666666,6,the peppers pickled peter peppers piper,picked peppers pickled peter peppers a picked the
0308.wav,5,0,2,1.1666666666666667,6,peppers peck peppers picked peppers peter,peck of where's peck peppers picked of where's peter the the
0309.wav,14,0,4,1.125,16,peter piper picked a peck of pickled peppers the peck of pickled peppers peter piper picked,the picked the picked piper of pickled of peck of pickled peppers where's the peck of picked picked peppers peter of piper picked the of peck the of pickled of
0310.wav,12,0,8,1.1764705882352942,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,the the of peter a the of piper the a pickled where's peck picked where's where's peck of of peppers peppers peter a the of peck where's picked the
0311.wav,9,0,1,2.0,5,a peck of pickled peppers,of a where's the the of peck of pickled of where's piper the the
0312.wav,4,0,1,1.6666666666666667,3,where's peter piper,picked where's peter the the a the
0313.wav,9,1,1,2.75,4,peter picked pickled peppers,picked the the a the pickled picked the picked where's piper the
0314.wav,5,0,4,1.5,6,where's the pickled peppers peter picked,the where's where's of peck of the peppers picked of the
0315.wav,3,0,2,1.6666666666666667,3,picked a peter,peck the of peter peter the
0316.wav,2,0,4,1.2,5,picked a peppers peck peter,peck the where's the peppers picked the
0317.wav,5,0,2,2.3333333333333335,3,pickled peppers piper,peck the of pickled of where's where's the
0318.wav,1,0,1,0.6666666666666666,3,pickled the pickled,peck where's the pickled
0319.wav,3,0,1,1.0,4,of peter where's pickled,peck of peter picked where's picked where's
0320.wav,6,0,1,2.3333333333333335,3,where's peter piper,the where's pickled where's picked of piper picked the
0321.wav,2,0,3,1.25,4,a peck of peppers,the pickled of of where's the
0322.wav,3,0,1,1.3333333333333333,3,pickled peter piper,the pickled peter peter picked the
0323.wav,4,0,1,1.6666666666666667,3,pickled peter piper,the pickled picked picked piper picked the
0324.wav,6,1,5,0.7058823529411765,17,peter piper picked a peck of pickled peppers where's the peck of pickled peppers peter piper picked,peppers the of of of picked of peck of pickled where's where's peck of pickled where's peter piper of a picked the
0325.wav,3,1,2,0.75,8,peter piper picked a peck of pickled peppers,the of piper picked of a of pickled where's the
0326.wav,3,0,8,0.9166666666666666,12,peter piper picked pickled peppers where's the pickled peppers peter piper picked,the of piper of a picked where's where's pickled where's where's of peter picked the
0327.wav,3,1,4,1.0,8,a peck of pickled peppers peter piper picked,the of pickled pickled where's where's of where's picked the
0328.wav,4,0,4,0.8888888888888888,9,where's the peck of pickled peppers peter piper picked,peck the where's of peck of picked of where's peter where's a picked
